-1.235948 4.400157 0
-2.021262 6.240893 0
-1.132442 3.022722 0
-2.049912 3.848643 0
-3.103219 4.410599 0
-2.855956 5.454274 0
-2.238962 4.121675 0
-2.556137 4.333674 0
-1.505921 3.794842 0
-2.686932 3.145904 0
-5.552990 4.653619 0
-2.135564 3.257835 0
-0.730245 2.545634 0
-2.954241 3.812816 0
-1.467221 5.469359 0
-2.845053 4.378163 0
-3.887786 2.019204 0
-3.347912 4.156349 0
-1.769709 5.202380 0
-3.387327 3.697697 0
1.517122 -4.008209 1
0.586970 0.758813 1
2.279243 -2.619531 1
1.228280 -0.900463 1
0.717604 -2.300860 1
1.733619 -1.452837 1
2.277612 -3.669666 1
2.960144 -1.394247 1
3.094070 -1.572240 1
2.102933 -2.512993 1
2.048997 -2.508485 1
1.850037 -4.441332 1
3.250918 -2.568204 1
0.694551 -1.345527 1
1.716886 -1.926538 1
4.031090 -1.817591 1
4.611356 -3.746307 1
3.568997 -2.968468 1
1.768507 -2.818617 1
2.559398 -1.920570 1
